id_transacao,descricao_produtos
124,BERMUDA DE MOLETOM Á SELFIE;BERMUDA DE MOLETOM Á SELFIE;CAMISETA MACHAO MARANDS;CUECA BOXER INF MICROFIBRA ESTAMPADA MALLBECK B-;CUECAS BOX;REGATA INDRI KIDS;REGATA MEIA MALHA PENTEADA PRETO
125,CALCINHA GUIPIR LA MAYARA;CAMISA GOLA POLO DIFERENTE KIDS;CAMISETA LISA ALGODÃO MIC
126,CALCINHA SUPER LUXO LA MAYARA;CAMISETA BORDADA ALGODÃO MIC;CAMISETA LISA ALGODÃO MIC
127,CALCINHA GUIPIR LA MAYARA;REGATA MALHA FRIA L&D
128,BERMUDA DE MOLETOM SELFIE JUVENIL;CONJUNTO DANGER PIPA
129,CAMISETA BORDADA ALGODÃO MIC;CAMISETA FRASES PINTADA ALGODÃO MIC MODA INFANTIL;FRALDA MINASREY X CM LX.EST.MNO C UN;SALDO TOP CHOT;SHORT ALGODÃO ELASTICO LISO MIC
130,CALCINHA BOXER SEM COSTURA SELENE;SUTIÃ SPORT COKIT
131,CUECA BOXER COTTON INFANTIL SELENE
132,CUECAS BOX
133,MEIA LUDICA PRESENTE MASC PIMPOLHO AZULTUCANO
134,KIT PANTUFA DENGUINHO;PAGÃO SAMUEL LUXO LA MAYARA
135,CONJ. LISTRADO COM SHORT GIGICA;CONJUNTO SHORT IILHOES LOVE KIDS;SALOPETE COM BLUSA ANIMAL PRINT GIGICA
136,CALCINHA ESTAMPADA MALHA FRIA LUZIANE;CALCINHA TANGA FOFINHA SG KIDS;CAMISETA BICHINHOS MIC MODA;CUECA ESTAMPADA HAOS;SHORT ALGODÃO ELASTICO LISO MIC
137,CALCINHA ALGODÃO LISA LUZIANE
138,CALCINHA SUPER LUXO LA MAYARA;CAMISETA ALG. EST. MICOL BABY KIDS;CHAPÉU OXFORD LAMAYARA;FRALDA CARICIA X CM C UN EST. MINASREY;TOALHA LISA DE ROSTO;VESTIDO CRISTAL REF LA MAYARA
139,CALCINHA ALGODÃO LISA LUZIANE;CALCINHA TANGA FOFINHA SG KIDS;VESTIDO THALITA REGATA LA MAYARA
140,CUECA BOXER INF MICROFIBRA ESTAMPADA MALLBECK B-
141,CAMISETA MALHA MASCULINO
142,MACAQUITO RAVI KIKARINHO
143,VESTIDO MALHA NIKKO VERDE ALGA
144,LEGUE MEIA COXA LISA D'VYSTEK;REGATA CANELADA MANIA VISUAL LD CL KIDS;SHORT JUVENIL NACLEFS MODA FASHION
145,BERMUDA MOLETOM PUPPYDIFERENTE KIDS;BONÉ TRICOLINE EVERLY;CAMISA POLO ALGODÃO PLAQUINHA REF MGRM;REGATA MACHAO SERGIO MODAS
146,"CALCINHA LA MAYARA;CALCINHA LA MAYARA;CAMISA PROTEÇÃO UV + TURMA DO MAR;CAMISETA , E ALG. EST. MICOL BABY KIDS"
147,"BONÉ JUVENIL SUPREME;CAMISA U.V INFANTIL + RIO ONDAS;SUNGA SHORT TURMA DO MAR , , ,"
148,TENIS STREET URBAN COLORS PIMPOLHO F BRANCOCINZA
149,CALCINHA ALGODÃO LISA LUZIANE
150,MEIA-CALÇA OPACA FIO TRIFIL
151,BRANDILI KYLY KAMYLUS ELIAN NANAI;LAÇOS BERNA BABY
152,BLUSA EM ALGODÃO AMANDA;SUTIA SEM BOJO DA LILI LANGERIE
153,BONÉ JUVENIL SUPREME;MEIA LISA INVISIVEL - UNISSEX PIMPOLHO BRANCA
154,CALCINHA ALGODÃO LISA LUZIANE
155,CUECA LISA HAOS CONFECÇÕES
156,CONJUNTO MALHA NIKKO BRINCADEIRA LARANJA
157,CALCINHA BOX AMO TI AMO AMORARMA;CUECA BOX DOM MATHEUS KIDS
158,TOALHAS DE DESENHO
159,BERMUDA DE MOLETOM Á SELFIE;BERMUDA DE MOLETOM SELFIE JUVENIL;BRANDILI KYLY KAMYLUS ELIAN NANAI;CAMISA MANGA CURTA JUVENIL ITALICO;CAMISA POLO HALO H MENINO;CUECA BOX JUVENIL
160,MEIAS VINNY
161,CALÇA JEANS HELO JEANS
162,CALCINHA ALGODÃO LISA LUZIANE
163,CUECA COM CÓS EKROS
164,REGATA MALHA FRIA L&D
165,SUTIA SEM BOJO DA LILI LANGERIE
166,BODY MALHA SUEDINE GB DONUTS;BODY MALHA SUEDINE GB ROSA;CAMISETA BICHINHOS MIC MODA;CAMISETA BORDADA ALGODÃO MIC;CONJUNTO REGATA C TAPA FRALDA BILU BILU BABY;KIT MORDEDOR ANIMAIS MARINHOS FEM PIMPOLHO ROSAAMARELOPINK;MORDEDOR OVELHA UNISSEX PIMPOLHO TRANSPARENTEROSA;VESTIDO COTTON FEMININO BRANDILI;VESTIDO .NIKKOMOLETOM DENIM GB MYLOVE ROSA;VESTIDO MALHA NIKKO GB ROSA SUAVE;VESTIDO MEIA MALHA PENTEADA GB NAVY AZUL
167,CAMISETA BORDADA ALGODÃO MIC;CAMISETA LISA ALGODÃO MIC;CUECA BORDADA MIC CONFECÇÕES;KIT MEIA COLORIDA C PARES TAG - FEM PIMPOLHO ROSA OVELHAROSA GEOMETRICABEGE OVELHA;MEIA BEBE MENINOS;TAPA FRALDA BORDADA BILU BILU
168,CUECA BOXER INF MICROFIBRA LISA MALLBECK;REGATA MACHAO SERGIO MODAS
169,CALCINHA BOX
170,FRALDA DENGO LISA X CM C UN CF LUXO () MINASREY
171,CONJUNTO .COTTON.PENTMOLET PEIXINHOS BEGE;MECBEE BABY CONJUNTO PAGÃO MARIO
172,REGATA MALHA FRIA L&D;SHORT JUVENIL NACLEFS MODA FASHION;SHORT VARIADOS DINDA
173,VESTIDO MEIA MALHA PENTEADA SORVETES VERMELHO
174,CALCA SARJA CINZA JUV V;CAMISA GOLA PADRE C ALLANXANDER;CUECA LAZINHO
175,BRANDILI KYLY KAMYLUS ELIAN NANAI;CUECA DOM MATHEUS COM CÓS;CUECA TRADICIONAL DOM MATHEUS;LAÇOS QUITERIA
176,VESTIDO MEIA MALHA PENTEADA SOL FELIZ ROSA
177,CAMISETA BICHINHOS MIC MODA;CAMISETA BORDADA ALGODÃO MIC;FRALDA X CM C UN ABB .MIMO BORDESTAM;MACAQUITO RAVI KIKARINHO;SALDO CALÇADOS PIMPOLHO;SAPATINHOS BABY SOFFETE;SAPATO MOCASSIM PIMPOLHO FASE OFF WHITE
178,CAMISA GOLA CARECA INDRI KIDS;SUTIÃ SPORT COKIT
179,BERMUDA JEANS CCINTO REF ROTAS;CAMISA GOLA POLO MARANDS
180,CALCINHA ALGODÃO LISA LUZIANE;REGATA CANELADA MANIA VISUAL LD CL KIDS;SHORT JUVENIL NACLEFS MODA FASHION;SHORT ZAFIRINHA KIDS
181,CALCINHA SUPER LUXO LA MAYARA;CAMISETA BICHINHOS MIC MODA
182,BLUSA E REGATA CANELADA LISA D'VYSTEK;LEGUE MEIA COXA ESTAMPADA D'VYSTEK
183,BIQUINI BIONDA LAÇO NA CALÇA;FAIXA UND;MACACAO CURTO MICHELLY MECBEE
184,CONJUNTO PROTEÇÃO UV + UV PROTECTION
185,BLUSA E REGATA CANELADA LISA D'VYSTEK;SHORT RETO ESTAMPADO MICOL BABY
186,CALCINHA ALGODÃO LISA LUZIANE
187,CALCINHA MIMOS JUNINHO BABY;JARDINEIRA PAULINA LA MAYARA;VESTIDO CAROL BABY REF LA MAYARA;VESTIDO PAULINA COM CALCINHA
188,CALCINHA LA MAYARA;TIARA MIMO BABY
189,ALIMENTADOR INFANTIL DE SILICONE UNICO UNISSEX PIMPOLHO
190,MEIA INFANTIL COLORIDA - FEM PIMPOLHO ROSEZEBRA;MEIA SOQUETE LISA SELENE A E A;SUTIÃ SPORT COKIT
191,CALCINHA ESTAMPADA JUVENIL MALHA ALGODAO JULY KIDS;CALCINHA LISA JUVENIL LUZIANE;FRALDA CIN C UN X CM CIA DO NENEM CLASSIC MINASREY;SHORT JUVENIL NACLEFS MODA FASHION;SUTIÃ JADE INTIMATE KANGYADIEZI
